,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10,,,43.7626494731896,42.8816494865852,41.9526248599723,41.0236002333594,40.1010265977446,39.234196117464,38.3673656371833,37.56111293992,36.794469012796,36.1286571517794,35.7415262759057,35.3272089626201,35.171274569442,35.0153401762638,35.3867818750183,35.7582235737727,36.1296652725272,36.7928203651267,37.6045441578146,38.4162679505024,39.2279917431903,40.1185964408306,41.0433883853376,41.9681803298447,42.8929722743517,43.7560131714436,,
11,,44.0762035959554,43.3145692000966,42.5529348042377,41.5785298239239,40.6299587375567,39.7000374369912,38.7334653112567,37.8328625362412,37.0102520575566,36.1876415788719,35.3650311001872,34.821522326848,34.5363964736161,34.2593108983607,34.0547352748754,34.1746536697063,34.7347813171891,35.4298013021985,36.1763350097662,37.0086921134863,37.8410492172063,38.7372630164703,39.7297242193534,40.6875442421983,41.6201853644755,42.5528264867527,43.5377278368306,44.1912735113185,
12,,43.9862873401623,43.1501910449747,42.3140947497872,41.31790717225,40.3391776037489,39.3604480352477,38.3817184667466,37.4124701570855,36.5029638192597,35.5934574814339,34.6839511436081,33.9015183777903,33.5032816204576,33.1050448631249,33.094130373487,33.2768770176966,33.9000250093339,34.7299373318698,35.5598496544057,36.4898376282281,37.4728226638884,38.4124220813506,39.3408519978763,40.3238509212888,41.3201341191447,42.3160247704292,43.3119154217138,43.9806675741752,
13,,43.9675547868721,43.0614237191167,42.1552926513614,41.1369966048903,40.1935770293395,39.2501574537886,38.1768739522896,37.1035904507906,36.114225107391,35.1428335469588,34.1714419865266,33.283286913175,32.4613805826581,31.950778827889,32.0702271781953,32.5149969630456,33.28508818244,34.1780733035955,35.1386260392499,36.1216110749102,37.1045961105706,38.0875811462309,39.1006103808167,40.1188892715487,41.1396385887025,42.1603879058564,43.0679801127683,43.9700524606441,
14,,43.9488222335818,43.0935060730085,42.1569726603372,41.1392219955677,40.1185964408306,39.0975365869152,38.0764767329999,37.0554168790845,36.0618644809366,35.0405405782605,33.9914451710563,32.9621797288582,31.9729859608313,30.9837921928043,30.9830256890003,31.9851794017536,32.9873331145069,33.9894868272602,35.0159514563343,36.0370420179064,37.0581325794785,38.0792231410506,39.1001699231292,40.1211167052077,41.1382046782846,42.1552926513614,43.0573649992372,43.959437347113,
15,,43.9488222335818,43.1764033340823,42.1579437605667,41.1394841870512,40.1195636695661,39.099073483866,38.0780136299506,37.0755609084831,36.0457561824087,35.0159514563343,33.9894868272602,32.9701328275746,31.950778827889,31.4665019202699,31.6416455870934,32.424912115081,33.2081786430686,33.9914451710563,35.0405405782605,36.0618644809366,37.0554168790845,38.0789341013337,39.1024513235829,40.1185964408306,41.1392219955677,42.1654831603513,43.0571526969666,43.9488222335818,
16,,43.9488222335818,43.1760419685153,42.1603879058564,41.1369966048903,40.1188034928535,39.1006103808167,38.0875811462309,37.0957049378818,36.1888106502972,35.292785103852,34.336974386662,33.28508818244,32.4570072395888,31.9492116477355,32.3002654851865,33.0835320131741,33.7626762372227,34.3376981573322,35.2259616323616,36.114225107391,37.1035904507906,38.0994990836339,39.0954077164773,40.1162021606838,41.1369966048903,42.2397889550693,43.1845340593402,43.9675547868721,
17,,43.9806675741752,43.2365120098144,42.3566071963045,41.3639819123702,40.3238509212888,39.3551768322782,38.3865027432676,37.4206391499716,36.4547755566756,35.5696187513697,34.6844619460638,34.1103678736619,33.5362738012601,32.9621797288582,32.9588853832796,33.5339073033891,34.1089292234986,34.6839511436081,35.6451872020315,36.5496745265296,37.4682264935159,38.4164821974453,39.388559870442,40.3730804491203,41.3603500307448,42.3140947497872,43.3119154217138,43.9862873401623,
18,,44.2495744895975,43.4355788596019,42.5528264867527,41.59096721985,40.6714509101388,39.7265701261966,38.7372630164703,37.8708948580108,37.0045266995512,36.1286571517794,35.4382331674473,35.0325540085162,34.5625854379042,33.9884913655024,33.9861253273502,34.1714419865266,34.7682365433569,35.3650311001872,36.1373853550953,36.9851239456682,37.8328625362412,38.7334653112567,39.6817120244067,40.6299587375568,41.5914467708972,42.5529348042377,43.3145692000966,44.0762035959554,
19,,,43.7732425178777,42.8929722743517,41.9616729805536,41.0190508989889,40.1185964408306,39.263823574696,38.4090507085614,37.5542778424267,36.8762368681402,36.1920043888309,35.7464891397907,35.3806460709686,35.0148030021465,35.0133652714208,35.1915403857193,35.6487951283724,36.2118566882784,36.845831598761,37.693570189334,38.4520301254171,39.3035230534784,40.1635616434189,41.0236002333594,41.9718634895434,42.8672564813665,43.7626494731896,,
